0.0,4.5,3.4,-2.5014587790084614e-24,8.07864059832908e-21,3.391847539042604e-23,-1.241800156052605e-23
0.02,4.5,3.4,-3.005635341018099e-24,-0.05019684960766095,2.0800717778161121e-10,-1.6305398539673504e-10
0.04,4.5,3.4,-3.5098119030277364e-24,-0.1003936992153219,4.160143555631885e-10,-3.261079707934577e-10
0.06,4.5,3.4,-4.013988465037373e-24,-0.15059054882298284,6.240215333447658e-10,-4.891619561901803e-10
0.08,4.5,3.4,-4.5181650270470114e-24,-0.2007873984306438,8.320287111263431e-10,-6.522159415869029e-10
0.1,4.5,3.4,-5.022341589056648e-24,-0.25098424803830477,1.0400358889079203e-09,-8.152699269836256e-10
0.12,4.5,3.4,-5.526518151066286e-24,-0.3011810976459657,1.2480430666894977e-09,-9.783239123803481e-10
0.14,4.5,3.4,-6.030694713075924e-24,-0.3513779472536267,1.456050244471075e-09,-1.141377897777071e-09
0.16,4.5,3.4,-6.534871275085561e-24,-0.4015747968612876,1.6640574222526523e-09,-1.3044318831737935e-09
0.18,4.5,3.4,-7.039047837095198e-24,-0.4517716464689485,1.8720646000342292e-09,-1.467485868570516e-09
0.2,4.497827728087646,3.4000000000090016,-7.056171760647418e-12,-0.5019684960110484,2.0656610487806378e-09,-1.6182551445481304e-09
0.22,4.488010500737748,3.4000000000496824,-3.8945385076977806e-11,-0.5521653453224168,2.208541295439344e-09,-1.72579039648937e-09
0.24,4.478193273387851,3.400000000090363,-7.08345983933082e-11,-0.6023621946337852,2.3514215420980505e-09,-1.8333256484306096e-09
0.26,4.468376046037953,3.4000000001310444,-1.0272381170963863e-10,-0.6525590439451535,2.494301788756757e-09,-1.9408609003718493e-09
0.28,4.458558818688055,3.400000000171725,-1.3461302502596905e-10,-0.702755893256522,2.6371820354154637e-09,-2.048396152313089e-09
0.3,4.448741591338158,3.400000000212406,-1.665022383422994e-10,-0.7529527425678901,2.7800622820741697e-09,-2.1559314042543285e-09
0.32,4.43892436398826,3.4000000002530872,-1.983914516586298e-10,-0.8031495918792586,2.9229425287328765e-09,-2.2634666561955683e-09
0.34,4.429107136638362,3.400000000293768,-2.3028066497496026e-10,-0.8533464411906271,3.0658227753915833e-09,-2.3710019081368077e-09
0.36,4.419289909288465,3.4000000003344493,-2.621698782912906e-10,-0.9035432905019953,3.2087030220502893e-09,-2.4785371600780476e-09
0.38,4.409472681938567,3.40000000037513,-2.9405909160762107e-10,-0.9537401398133637,3.351583268708996e-09,-2.5860724120192874e-09
0.4,4.395310910789606,3.4000000004281774,-3.3525549488529893e-10,-1.0039369888887122,3.460607925589869e-09,-2.6641658821619906e-09
0.42,4.375676456147758,3.400000000496802,-3.881758690152444e-10,-1.054133837666754,3.5269857739936326e-09,-2.7051724772029317e-09
0.44,4.35604200150591,3.4000000005654267,-4.4109624314519e-10,-1.1043306864447957,3.5933636223973966e-09,-2.746179072243873e-09
0.46,4.336407546864062,3.4000000006340514,-4.940166172751356e-10,-1.1545275352228375,3.6597414708011606e-09,-2.787185667284814e-09
0.48,4.316773092222214,3.400000000702676,-5.46936991405081e-10,-1.2047243840008792,3.726119319204924e-09,-2.8281922623257553e-09
0.5,4.297138637580366,3.4000000007713007,-5.998573655350266e-10,-1.254921232778921,3.792497167608688e-09,-2.8691988573666964e-09
0.52,4.277504182938518,3.4000000008399254,-6.527777396649723e-10,-1.3051180815569627,3.858875016012452e-09,-2.9102054524076376e-09
0.54,4.25786972829667,3.40000000090855,-7.056981137949179e-10,-1.3553149303350045,3.925252864416216e-09,-2.9512120474485788e-09
0.56,4.238235273654822,3.4000000009771747,-7.586184879248635e-10,-1.4055117791130463,3.991630712819979e-09,-2.99221864248952e-09
0.58,4.218600819012974,3.4000000010457994,-8.115388620548088e-10,-1.4557086278910878,4.058008561223743e-09,-3.0332252375304607e-09
0.6,4.19244954874177,3.4000000011230416,-8.69782925340045e-10,-1.5059054758430601,4.052367659819767e-09,-3.0113162310543743e-09
0.62,4.162997866912277,3.400000001204648,-9.30723146721531e-10,-1.556102323376673,4.010253190986903e-09,-2.9575439050901487e-09
0.64,4.133546185082784,3.4000000012862546,-9.91663368103017e-10,-1.6062991709102863,3.968138722154039e-09,-2.903771579125923e-09
0.66,4.1040945032532905,3.400000001367861,-1.052603589484503e-09,-1.6564960184438995,3.926024253321176e-09,-2.8499992531616974e-09
0.68,4.074642821423797,3.4000000014494676,-1.1135438108659891e-09,-1.7066928659775125,3.883909784488312e-09,-2.7962269271974717e-09
0.7000000000000001,4.045191139594305,3.400000001531074,-1.1744840322474752e-09,-1.7568897135111257,3.841795315655448e-09,-2.742454601233246e-09
0.72,4.015739457764812,3.4000000016126806,-1.2354242536289608e-09,-1.8070865610447384,3.7996808468225835e-09,-2.6886822752690204e-09
0.74,3.9862877759353186,3.400000001694287,-1.296364475010447e-09,-1.8572834085783516,3.75756637798972e-09,-2.6349099493047947e-09
0.76,3.9568360941058254,3.4000000017758936,-1.357304696391933e-09,-1.9074802561119646,3.7154519091568557e-09,-2.581137623340569e-09
0.78,3.9273844122763326,3.4000000018575,-1.418244917773419e-09,-1.9576771036455778,3.673337440323992e-09,-2.5273652973763434e-09
0.8,3.8892436431564414,3.4000000019318164,-1.469877135623446e-09,-2.007873945672063,3.344692104414333e-09,-2.2336502953850458e-09
0.8200000000000001,3.849974734382682,3.400000002005186,-1.5203008573988858e-09,-2.058070786983535,2.9788452970032926e-09,-1.9087825568133846e-09
